GENE_NAME,ID,DESCRIPTION,SUMMARY
FFAR3,2865,free fatty acid receptor 3,"Enables G protein-coupled receptor activity. Involved in adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway and cellular response to fatty acid. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
INAVA,55765,innate immunity activator,"Involved in several processes, including nucleotide-binding activity oligomerization domain containing 2 signaling pathway; positive regulation of cytokine production; and positive regulation of intracellular signal transduction. Located in cytoplasm and nucleus. Implicated in inflammatory bowel disease 29. [provided by Alliance of Genome Resources, Apr 2022]"
ENPP4,22875,ectonucleotide pyrophosphatase/phosphodiesterase 4,"Enables bis(5'-adenosyl)-triphosphatase activity. Involved in positive regulation of blood coagulation and purine ribonucleoside catabolic process. Located in extracellular exosome and membrane. [provided by Alliance of Genome Resources, Apr 2022]"
MAOA,4128,monoamine oxidase A,"This gene is one of two neighboring gene family members that encode mitochondrial enzymes which catalyze the oxidative deamination of amines, such as dopamine, norepinephrine, and serotonin. Mutation of this gene results in Brunner syndrome. This gene has also been associated with a variety of other psychiatric disorders, including antisocial behavior. Alternatively spliced transcript variants encoding multiple isoforms have been observed. [provided by RefSeq, Jul 2012]"
LINC01558,26238,long intergenic non-protein coding RNA 1558,
PHKA1,5255,phosphorylase kinase regulatory subunit alpha 1,"Phosphorylase kinase is a polymer of 16 subunits, four each of alpha, beta, gamma and delta. The alpha subunit includes the skeletal muscle and hepatic isoforms, and the skeletal muscle isoform is encoded by this gene. The beta subunit is the same in both the muscle and hepatic isoforms, and encoded by one gene. The gamma subunit also includes the skeletal muscle and hepatic isoforms, which are encoded by two different genes. The delta subunit is a calmodulin and can be encoded by three different genes. The gamma subunits contain the active site of the enzyme, whereas the alpha and beta subunits have regulatory functions controlled by phosphorylation. The delta subunit mediates the dependence of the enzyme on calcium concentration. Mutations in this gene cause glycogen storage disease type 9D, also known as X-linked muscle glycogenosis. Alternatively spliced transcript variants encoding different isoforms have been identified in this gene. A pseudogene has been found on chromosome 1.[provided by RefSeq, Feb 2010]"
ARMC12,221481,armadillo repeat containing 12,"Located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
PDLIM4,8572,PDZ and LIM domain 4,"Enables alpha-actinin binding activity; protein homodimerization activity; and protein phosphatase binding activity. Involved in actin cytoskeleton reorganization. Located in several cellular components, including lamellipodium; perinuclear region of cytoplasm; and stress fiber. Part of filamentous actin. Implicated in osteoporosis. [provided by Alliance of Genome Resources, Apr 2022]"
ZNF682,91120,zinc finger protein 682,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
MYCBPAP,84073,MYCBP associated protein,"Involved in spermatogenesis. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
SKAP1,8631,src kinase associated phosphoprotein 1,"This gene encodes a T cell adaptor protein, a class of intracellular molecules with modular domains capable of recruiting additional proteins but that exhibit no intrinsic enzymatic activity. The encoded protein contains a unique N-terminal region followed by a PH domain and C-terminal SH3 domain. Along with the adhesion and degranulation-promoting adaptor protein, the encoded protein plays a critical role in inside-out signaling by coupling T-cell antigen receptor stimulation to the activation of integrins. [provided by RefSeq, Jul 2008]"
FOXF2,2295,forkhead box F2,"FOXF2 encodes forkhead box F2, one of many human homologues of the Drosophila melanogaster transcription factor forkhead. FOXF2 is expressed in lung and placenta, and has been shown to transcriptionally activate several lung-specific genes. [provided by RefSeq, Jul 2008]"
ST4,6484,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4","This gene encodes a member of the glycosyltransferase 29 family, a group of enzymes involved in protein glycosylation. The encoded protein is targeted to Golgi membranes but may be proteolytically processed and secreted. The gene product may also be involved in the increased expression of sialyl Lewis X antigen seen in inflammatory responses. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]"
HIST1H2BG,3017,H2B clustered histone 5,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Nucleosomes consist of approximately 146 bp of DNA wrapped around a histone octamer composed of pairs of each of the four core histones (H2A, H2B, H3, and H4). The chromatin fiber is further compacted through the interaction of a linker histone, H1, with the DNA between the nucleosomes to form higher order chromatin structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H2B family. Two transcripts that encode the same protein have been identified for this gene, which is found in the large histone gene cluster on chromosome 6p22-p21.3. [provided by RefSeq, Aug 2015]"
CTAGE9,643854,CTAGE family member 9,"Predicted to be involved in endoplasmic reticulum to Golgi vesicle-mediated transport; protein secretion; and vesicle cargo loading. Predicted to be integral component of membrane. Predicted to be active in endoplasmic reticulum exit site and endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Apr 2022]"
TTBK1,84630,tau tubulin kinase 1,"Summary:This gene belongs to the casein kinase 1 superfamily. The encoded protein is a neuron-specific, serine/threonine and tyrosine kinase, which regulates phosphorylation of tau, a protein that associates with microtubule assemblies and stabilizes them. Genetic variants in this gene are associated with Alzheimer's disease. [provided by RefSeq, Jul 2016]"
LINC00654,149837,long intergenic non-protein coding RNA 654,
ERP27,121506,endoplasmic reticulum protein 27,"This gene encodes a noncatalytic member of the protein disulfide isomerase (PDI) family of endoplasmic reticulum (ER) proteins. The canonical protein has an N-terminal signal sequence, two thioredoxin (TRX)-like domains and a C-terminal ER-retention sequence. Alternative splicing results in multiple transcript variants encoding distinct isoforms; some of which lack domains present in the canonical protein. [provided by RefSeq, Dec 2016]"
SERPINA3,12,serpin family A member 3,"The protein encoded by this gene is a member of the serpin family of proteins, a group of proteins that inhibit serine proteases. This gene is one in a cluster of serpin genes located on the q arm of chromosome 14. Polymorphisms in this protein appear to be tissue specific and influence protease targeting. Variations in this protein's sequence have been implicated in Alzheimer's disease, and deficiency of this protein has been associated with liver disease. Mutations have been identified in patients with Parkinson disease and chronic obstructive pulmonary disease. [provided by RefSeq, Jun 2020]"
PLA2G2A,5320,phospholipase A2 group IIA,"The protein encoded by this gene is a member of the phospholipase A2 family (PLA2). PLA2s constitute a diverse family of enzymes with respect to sequence, function, localization, and divalent cation requirements. This gene product belongs to group II, which contains secreted form of PLA2, an extracellular enzyme that has a low molecular mass and requires calcium ions for catalysis. It catalyzes the hydrolysis of the sn-2 fatty acid acyl ester bond of phosphoglycerides, releasing free fatty acids and lysophospholipids, and thought to participate in the regulation of the phospholipid metabolism in biomembranes. Several alternatively spliced transcript variants with different 5' UTRs have been found for this gene.[provided by RefSeq, Sep 2009]"
C1QL4,338761,complement C1q like 4,"Predicted to enable identical protein binding activity. Predicted to act upstream of or within negative regulation of ERK1 and ERK2 cascade; negative regulation of fat cell differentiation; and negative regulation of fibroblast proliferation. Predicted to be located in extracellular space. Predicted to be part of collagen trimer. [provided by Alliance of Genome Resources, Apr 2022]"
DUSP1,1843,dual specificity phosphatase 1,"The protein encoded by this gene is a phosphatase with dual specificity for tyrosine and threonine. The encoded protein can dephosphorylate MAP kinase MAPK1/ERK2, which results in its involvement in several cellular processes. This protein appears to play an important role in the human cellular response to environmental stress as well as in the negative regulation of cellular proliferation. Finally, the encoded protein can make some solid tumors resistant to both chemotherapy and radiotherapy, making it a target for cancer therapy. [provided by RefSeq, Aug 2017]"
FAM198A,729085,golgi associated kinase 1A,"Located in intracellular membrane-bounded organelle. [provided by Alliance of Genome Resources, Apr 2022]"
DPF3,8110,double PHD fingers 3,"This gene encodes a member of the D4 protein family. The encoded protein is a transcription regulator that binds acetylated histones and is a component of the BAF chromatin remodeling complex. Alternate splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2013]"
CD300E,342510,CD300e molecule,"This gene encodes a member of the CD300 glycoprotein family of cell surface proteins expressed on myeloid cells. The protein interacts with the TYRO protein tyrosine kinase-binding protein and is thought to act as an activating receptor. [provided by RefSeq, Nov 2012]"
TPD52L1,7164,TPD52 like 1,"This gene encodes a member of a family of proteins that contain coiled-coil domains and may form hetero- or homomers. The encoded protein is involved in cell proliferation and calcium signaling. It also interacts with the mitogen-activated protein kinase kinase kinase 5 (MAP3K5/ASK1) and positively regulates MAP3K5-induced apoptosis. Multiple alternatively spliced transcript variants have been observed. [provided by RefSeq, Jan 2016]"
TFPI2,7980,tissue factor pathway inhibitor 2,"This gene encodes a member of the Kunitz-type serine proteinase inhibitor family. The protein can inhibit a variety of serine proteases including factor VIIa/tissue factor, factor Xa, plasmin, trypsin, chymotryspin and plasma kallikrein. This gene has been identified as a tumor suppressor gene in several types of cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2012]"
WIPI1,55062,"WD repeat domain, phosphoinositide interacting 1","This gene encodes a WD40 repeat protein. Members of the WD40 repeat family are key components of many essential biologic functions. They regulate the assembly of multiprotein complexes by presenting a beta-propeller platform for simultaneous and reversible protein-protein interactions. Members of the WIPI subfamily of WD40 repeat proteins have a 7-bladed propeller structure and contain a conserved motif for interaction with phospholipids. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]"
SV2A,9900,synaptic vesicle glycoprotein 2A,"The protein encoded by this gene is one of three related synaptic vesicle proteins. The encoded protein may interact with synaptotagmin to enhance low frequency neurotransmission in quiescent neurons. [provided by RefSeq, Jun 2016]"
PLEKHB1,58473,pleckstrin homology domain containing B1,"Predicted to enable protein C-terminus binding activity and protein homodimerization activity. Predicted to be involved in regulation of cell differentiation. Is integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
SLC38A1,81539,solute carrier family 38 member 1,"Amino acid transporters play essential roles in the uptake of nutrients, production of energy, chemical metabolism, detoxification, and neurotransmitter cycling. SLC38A1 is an important transporter of glutamine, an intermediate in the detoxification of ammonia and the production of urea. Glutamine serves as a precursor for the synaptic transmitter, glutamate (Gu et al., 2001 [PubMed 11325958]).[supplied by OMIM, Mar 2008]"
GAL3ST2,64090,galactose-3-O-sulfotransferase 2,"This gene encodes a member of the galactose-3-O-sulfotransferase protein family. The product of this gene catalyzes sulfonation by transferring a sulfate group to the hydroxyl at C-3 of nonreducing beta-galactosyl residues, and it can act on both type 1 and type 2 (Galbeta 1-3/1-4GlcNAc-R) oligosaccharides with similar efficiencies, and on core 1 glycans. This enzyme has been implicated in tumor metastasis processes. This gene is different from the GAL3ST3 gene located on chromosome 11, which has also been referred to as GAL3ST2 and encodes a related enzyme with distinct tissue distribution and substrate specificities, compared to galactose-3-O-sulfotransferase 2. [provided by RefSeq, Jul 2008]"
MIXL1,83881,Mix paired-like homeobox,"Enables RNA polymerase II-specific DNA-binding transcription factor binding activity and sequence-specific double-stranded DNA binding activity. Predicted to be involved in several processes, including endodermal cell differentiation; hematopoietic progenitor cell differentiation; and positive regulation of mesoderm development. Predicted to act upstream of or within cell migration involved in gastrulation and hemopoiesis. Located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
FGF2,2247,fibroblast growth factor 2,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members bind heparin and possess broad mitogenic and angiogenic activities. This protein has been implicated in diverse biological processes, such as limb and nervous system development, wound healing, and tumor growth. The mRNA for this gene contains multiple polyadenylation sites, and is alternatively translated from non-AUG (CUG) and AUG initiation codons, resulting in five different isoforms with distinct properties. The CUG-initiated isoforms are localized in the nucleus and are responsible for the intracrine effect, whereas, the AUG-initiated form is mostly cytosolic and is responsible for the paracrine and autocrine effects of this FGF. [provided by RefSeq, Jul 2008]"
PLCB4,5332,phospholipase C beta 4,"The protein encoded by this gene catalyzes the formation of inositol 1,4,5-trisphosphate and diacylglycerol from phosphatidylinositol 4,5-bisphosphate. This reaction uses calcium as a cofactor and plays an important role in the intracellular transduction of many extracellular signals in the retina. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2010]"
PKIA,5569,cAMP-dependent protein kinase inhibitor alpha,"The protein encoded by this gene is a member of the cAMP-dependent protein kinase (PKA) inhibitor family. This protein was demonstrated to interact with and inhibit the activities of both C alpha and C beta catalytic subunits of the PKA. Alternatively spliced transcript variants encoding the same protein have been reported. [provided by RefSeq, Jul 2008]"
TSPYL5,85453,TSPY like 5,"Predicted to enable chromatin binding activity and histone binding activity. Involved in several processes, including cellular response to gamma radiation; positive regulation of protein kinase B signaling; and positive regulation of protein ubiquitination. Predicted to be active in chromatin and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
CERKL,375298,ceramide kinase like,"This gene was initially identified as a locus (RP26) associated with an autosomal recessive form of retinitis pigmentosa (arRP) disease. This gene encodes a protein with ceramide kinase-like domains, however, the protein does not phosphorylate ceramide and its target substrate is currently unknown. This protein may be a negative regulator of apoptosis in photoreceptor cells. Mutations in this gene cause a form of retinitis pigmentosa characterized by autosomal recessive cone and rod dystrophy (arCRD). Alternative splicing of this gene results in multiple transcript variants encoding different isoforms and non-coding transcripts.[provided by RefSeq, May 2010]"
GPLD1,2822,glycosylphosphatidylinositol specific phospholipase D1,"Many proteins are tethered to the extracellular face of eukaryotic plasma membranes by a glycosylphosphatidylinositol (GPI) anchor. The GPI-anchor is a glycolipid found on many blood cells. The protein encoded by this gene is a GPI degrading enzyme. Glycosylphosphatidylinositol specific phospholipase D1 hydrolyzes the inositol phosphate linkage in proteins anchored by phosphatidylinositol glycans, thereby releasing the attached protein from the plasma membrane. [provided by RefSeq, Jul 2008]"
SLC8A1,6546,solute carrier family 8 member A1,"In cardiac myocytes, Ca(2+) concentrations alternate between high levels during contraction and low levels during relaxation. The increase in Ca(2+) concentration during contraction is primarily due to release of Ca(2+) from intracellular stores. However, some Ca(2+) also enters the cell through the sarcolemma (plasma membrane). During relaxation, Ca(2+) is sequestered within the intracellular stores. To prevent overloading of intracellular stores, the Ca(2+) that entered across the sarcolemma must be extruded from the cell. The Na(+)-Ca(2+) exchanger is the primary mechanism by which the Ca(2+) is extruded from the cell during relaxation. In the heart, the exchanger may play a key role in digitalis action. The exchanger is the dominant mechanism in returning the cardiac myocyte to its resting state following excitation.[supplied by OMIM, Apr 2004]"
NLRC4,58484,NLR family CARD domain containing 4,"This gene encodes a member of the caspase recruitment domain-containing NLR family. Family members play essential roles in innate immune response to a wide range of pathogenic organisms, tissue damage and other cellular stresses. Mutations in this gene result in autoinflammation with infantile enterocolitis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014]"
SLC35G2,80723,solute carrier family 35 member G2,"Located in Golgi apparatus and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
SPP1,6696,secreted phosphoprotein 1,"The protein encoded by this gene is involved in the attachment of osteoclasts to the mineralized bone matrix. The encoded protein is secreted and binds hydroxyapatite with high affinity. The osteoclast vitronectin receptor is found in the cell membrane and may be involved in the binding to this protein. This protein is also a cytokine that upregulates expression of interferon-gamma and interleukin-12. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011]"
MAOB,4129,monoamine oxidase B,"The protein encoded by this gene belongs to the flavin monoamine oxidase family. It is a enzyme located in the mitochondrial outer membrane. It catalyzes the oxidative deamination of biogenic and xenobiotic amines and plays an important role in the metabolism of neuroactive and vasoactive amines in the central nervous sysytem and peripheral tissues. This protein preferentially degrades benzylamine and phenylethylamine. [provided by RefSeq, Jul 2008]"
TSPAN5,10098,tetraspanin 5,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. [provided by RefSeq, Jul 2008]"
LINC02904,286122,LY6S antisense RNA 1,
TMSB15B,11013,thymosin beta 15A,"Predicted to enable actin monomer binding activity. Involved in positive regulation of cell migration. Predicted to be located in cytoskeleton. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
KIAA1804,,,
ITGB1BP2,26548,integrin subunit beta 1 binding protein 2,"This gene encodes a protein with two cysteine and histidine-rich (CHORD) domains, PXXP motifs, YXXI/P motifs, putative SH2 and SH3 domain binding motifs, and an acidic region at the C-terminus that can bind calcium. Two hybrid analysis showed that this protein interacts with the cytoplasmic domain of the beta 1 integrin subunit and is thought to act as a chaperone protein. Studies in the mouse ortholog of this gene indicate that absence of this gene in mouse results in failed cardiac hypertrophy in response to mechanical stress. Alternative splicing results in multiple transcript variants encoding different isoforms, including an isoform that lacks several domains, including one of the CHORD domains. [provided by RefSeq, May 2017]"
CYP2J2,1573,cytochrome P450 family 2 subfamily J member 2,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is thought to be the predominant enzyme responsible for epoxidation of endogenous arachidonic acid in cardiac tissue. Multiple transcript variants have been found for this gene. [provided by RefSeq, Jan 2016]"
PTGDR,5729,prostaglandin D2 receptor,"This gene encodes a member of the guanine nucleotide-binding protein (G protein)-coupled receptor (GPCR) superfamily. The receptors are seven-pass transmembrane proteins that respond to extracellular cues and activate intracellular signal transduction pathways. This protein is reported to be a receptor for prostaglandin D2, which is a mediator of allergic inflammation and allergic airway inflammation in asthma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]"
ZNF681,148213,zinc finger protein 681,"This gene encodes a protein containing the krueppel associated box (KRAB) and zinc-finger domains, which may be involved in transcriptional regulation. Non-functional alleles of this gene are present in alternate genome assemblies including T2T-CHM13v1.1, resulting from a 'TG' deletion (rs61397759) which causes a frameshift and a premature stop codon. [provided by RefSeq, Sep 2022]"
DPY19L2,283417,dpy-19 like 2,"The protein encoded by this gene belongs to the dpy-19 family. It is highly expressed in testis, and is required for sperm head elongation and acrosome formation during spermatogenesis. Mutations in this gene are associated with an infertility disorder, spermatogenic failure type 9 (SPGF9). [provided by RefSeq, Dec 2011]"
ZNF860,344787,zinc finger protein 860,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
POM121L9P,29774,"POM121 transmembrane nucleoporin like 9, pseudogene","This locus is inferred to be a transcribed pseudogene based on the observation that protein homology is limited to the first of seven exons (indicated by alignment of AL117401.1 to the assembled human genome). This pattern suggests rapid turnover by the nonsense-mediated decay pathway. [provided by RefSeq, Jul 2008]"
RAB39B,116442,"RAB39B, member RAS oncogene family","This gene encodes a member of the Rab family of proteins. Rab proteins are small GTPases that are involved in vesicular trafficking. Mutations in this gene are associated with X-linked cognitive disability. [provided by RefSeq, Aug 2013]"
IL12A,3592,interleukin 12A,"This gene encodes a subunit of a cytokine that acts on T and natural killer cells, and has a broad array of biological activities. The cytokine is a disulfide-linked heterodimer composed of the 35-kD subunit encoded by this gene, and a 40-kD subunit that is a member of the cytokine receptor family. This cytokine is required for the T-cell-independent induction of interferon (IFN)-gamma, and is important for the differentiation of both Th1 and Th2 cells. The responses of lymphocytes to this cytokine are mediated by the activator of transcription protein STAT4. Nitric oxide synthase 2A (NOS2A/NOS2) is found to be required for the signaling process of this cytokine in innate immunity. [provided by RefSeq, Jul 2008]"
LOXL3,84695,lysyl oxidase like 3,"This gene encodes a lysyl oxidase, which likely functions as an amine oxidase and plays a role in the formation of crosslinks in collagens and elastin. Deletion of the related gene in mouse causes neonatal mortality with cleft palate, spine deformity, and defects in collagen organization. A mutation in this gene was found in a family with Stickler syndrome. [provided by RefSeq, Sep 2016]"
SHROOM3,57619,shroom family member 3,"This gene encodes a PDZ-domain-containing protein that belongs to a family of Shroom-related proteins. This protein may be involved in regulating cell shape in certain tissues. A similar protein in mice is required for proper neurulation. [provided by RefSeq, Jan 2011]"
ATF7IP2,80063,activating transcription factor 7 interacting protein 2,"Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
CDO1,1036,cysteine dioxygenase type 1,"Predicted to enable cysteine dioxygenase activity and ferrous iron binding activity. Predicted to be involved in L-cysteine catabolic process. Predicted to be located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
SRSF12,135295,serine and arginine rich splicing factor 12,"Enables RNA binding activity. Involved in mRNA 5'-splice site recognition and regulation of alternative mRNA splicing, via spliceosome. Predicted to be located in nucleoplasm. Predicted to be active in cytoplasm and nuclear speck. [provided by Alliance of Genome Resources, Apr 2022]"
PLCE1,51196,phospholipase C epsilon 1,"This gene encodes a phospholipase enzyme that catalyzes the hydrolysis of phosphatidylinositol-4,5-bisphosphate to generate two second messengers: inositol 1,4,5-triphosphate (IP3) and diacylglycerol (DAG). These second messengers subsequently regulate various processes affecting cell growth, differentiation, and gene expression. This enzyme is regulated by small monomeric GTPases of the Ras and Rho families and by heterotrimeric G proteins. In addition to its phospholipase C catalytic activity, this enzyme has an N-terminal domain with guanine nucleotide exchange (GEF) activity. Mutations in this gene cause early-onset nephrotic syndrome; characterized by proteinuria, edema, and diffuse mesangial sclerosis or focal and segmental glomerulosclerosis. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Sep 2009]"
POU5F1B,5462,POU class 5 homeobox 1B,"This intronless gene was thought to be a transcribed pseudogene of POU class 5 homeobox 1, however, it has been reported that this gene can encode a functional protein. The encoded protein is nearly the same length as and highly similar to the POU class 5 homeobox 1 transcription factor, has been shown to be a weak transcriptional activator and may play a role in carcinogenesis and eye development. [provided by RefSeq, Apr 2009]"
LINC00899,100271722,long intergenic non-protein coding RNA 899,
CHRDL1,91851,chordin like 1,"This gene encodes an antagonist of bone morphogenetic protein 4. The encoded protein may play a role in topographic retinotectal projection and in the regulation of retinal angiogenesis in response to hypoxia. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jan 2009]"
SLC9A7,84679,solute carrier family 9 member A7,"This gene encodes a sodium and potassium/ proton antiporter that is a member of the solute carrier family 9 protein family. The encoded protein is primarily localized to the trans-Golgi network and is involved in maintaining pH homeostasis in organelles along the secretory and endocytic pathways. This protein may enhance cell growth of certain breast tumors. This gene is part of a gene cluster on chromosome Xp11.23. A pseudogene of this gene is found on chromosome 12. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Mar 2012]"
CD200R1,131450,CD200 receptor 1,"This gene encodes a receptor for the OX-2 membrane glycoprotein. Both the receptor and substrate are cell surface glycoproteins containing two immunoglobulin-like domains. This receptor is restricted to the surfaces of myeloid lineage cells and the receptor-substrate interaction may function as a myeloid downregulatory signal. Mouse studies of a related gene suggest that this interaction may control myeloid function in a tissue-specific manner. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2008]"
IL15,3600,interleukin 15,"The protein encoded by this gene is a cytokine that regulates T and natural killer cell activation and proliferation. This cytokine and interleukine 2 share many biological activities. They are found to bind common hematopoietin receptor subunits, and may compete for the same receptor, and thus negatively regulate each other's activity. The number of CD8+ memory cells is shown to be controlled by a balance between this cytokine and IL2. This cytokine induces the activation of JAK kinases, as well as the phosphorylation and activation of transcription activators STAT3, STAT5, and STAT6. Studies of the mouse counterpart suggested that this cytokine may increase the expression of apoptosis inhibitor BCL2L1/BCL-x(L), possibly through the transcription activation activity of STAT6, and thus prevent apoptosis. Alternatively spliced transcript variants of this gene have been reported. [provided by RefSeq, Feb 2011]"
LINC01622,285768,long intergenic non-protein coding RNA 1622,
PP3501,126321,major facilitator superfamily domain containing 12,"Enables cysteine transmembrane transporter activity. Involved in cysteine transmembrane transport; pigment metabolic process involved in pigmentation; and regulation of melanin biosynthetic process. Located in lysosome and melanosome. Part of late endosome. [provided by Alliance of Genome Resources, Apr 2022]"
STYK1,55359,serine/threonine/tyrosine kinase 1,"Receptor protein tyrosine kinases, like STYK1, play important roles in diverse cellular and developmental processes, such as cell proliferation, differentiation, and survival (Liu et al., 2004 [PubMed 15150103]).[supplied by OMIM, Mar 2008]"
DMC1,11144,DNA meiotic recombinase 1,"This gene encodes a member of the superfamily of recombinases (also called DNA strand-exchange proteins). Recombinases are important for repairing double-strand DNA breaks during mitosis and meiosis. This protein, which is evolutionarily conserved, is reported to be essential for meiotic homologous recombination and may thus play an important role in generating diversity of genetic information. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2013]"
ADAM28,10863,ADAM metallopeptidase domain 28,"This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The protein encoded by this gene is a lymphocyte-expressed ADAM protein. This gene is present in a gene cluster with other members of the ADAM family on chromosome 8. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2015]"
ZNF626,199777,zinc finger protein 626,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
ARNTL2,56938,basic helix-loop-helix ARNT like 2,"This gene encodes a basic helix-loop-helix transcription factor belonging to the PAS (PER, ARNT, SIM) superfamily. The PAS proteins play important roles in adaptation to low atmospheric and cellular oxygen levels, exposure to certain environmental pollutants, and diurnal oscillations in light and temperature. This protein forms a transcriptionally active heterodimer with the circadian CLOCK protein, the structurally related MOP4, and hypoxia-inducible factors, such as HIF1alpha. Consistent with its role as a biologically relevant partner of circadian and hypoxia factors, this protein is coexpressed in regions of the brain such as the thalamus, hypothalamus, and amygdala. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Oct 2011]"
SFRP1,6422,secreted frizzled related protein 1,"This gene encodes a member of the SFRP family that contains a cysteine-rich domain homologous to the putative Wnt-binding site of Frizzled proteins. Members of this family act as soluble modulators of Wnt signaling; epigenetic silencing of SFRP genes leads to deregulated activation of the Wnt-pathway which is associated with cancer. This gene may also be involved in determining the polarity of photoreceptor cells in the retina. [provided by RefSeq, Sep 2009]"
ADGRF3,165082,adhesion G protein-coupled receptor F3,"Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway and cell surface receptor signaling pathway. Predicted to be located in plasma membrane. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
EFEMP2,30008,EGF containing fibulin extracellular matrix protein 2,"A large number of extracellular matrix proteins have been found to contain variations of the epidermal growth factor (EGF) domain and have been implicated in functions as diverse as blood coagulation, activation of complement and determination of cell fate during development. The protein encoded by this gene contains four EGF2 domains and six calcium-binding EGF2 domains. This gene is necessary for elastic fiber formation and connective tissue development. Defects in this gene are cause of an autosomal recessive cutis laxa syndrome. Alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Jan 2011]"
TPPP,11076,tubulin polymerization promoting protein,"Enables several functions, including GTPase activity; magnesium ion binding activity; and protein homodimerization activity. Involved in several processes, including microtubule cytoskeleton organization; negative regulation of tubulin deacetylation; and positive regulation of protein polymerization. Located in several cellular components, including mitochondrion; mitotic spindle; and perinuclear region of cytoplasm. Colocalizes with microtubule and microtubule bundle. [provided by Alliance of Genome Resources, Apr 2022]"
PTGFR,5737,prostaglandin F receptor,"The protein encoded by this gene is member of the G-protein coupled receptor family. This protein is a receptor for prostaglandin F2-alpha (PGF2-alpha), which is known to be a potent luteolytic agent, and may also be involved in modulating intraocular pressure and smooth muscle contraction in uterus. Knockout studies in mice suggest that the interaction of PGF2-alpha with this receptor may initiate parturition in ovarian luteal cells and thus induce luteolysis. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
