GENE_NAME,ID,DESCRIPTION,SUMMARY
NCR1,9437,natural cytotoxicity triggering receptor 1,"Predicted to be involved in cellular defense response; regulation of natural killer cell mediated cytotoxicity; and signal transduction. Predicted to act upstream of or within defense response to virus and detection of virus. Predicted to be located in cell surface. Predicted to be part of SWI/SNF complex. Predicted to be active in plasma membrane. Biomarker of acquired immunodeficiency syndrome; anogenital venereal wart; hepatitis C; and lymphoproliferative syndrome. [provided by Alliance of Genome Resources, Apr 2022]"
ACY3,91703,aminoacylase 3,"Predicted to enable aminoacylase activity. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]"
MS4A1,931,membrane spanning 4-domains A1,"This gene encodes a member of the membrane-spanning 4A gene family. Members of this nascent protein family are characterized by common structural features and similar intron/exon splice boundaries and display unique expression patterns among hematopoietic cells and nonlymphoid tissues. This gene encodes a B-lymphocyte surface molecule which plays a role in the development and differentiation of B-cells into plasma cells. This family member is localized to 11q12, among a cluster of family members. Alternative splicing of this gene results in two transcript variants which encode the same protein. [provided by RefSeq, Jul 2008]"
LOC100130355,100130355,hypothetical protein LOC100130355,
SKAP1,8631,src kinase associated phosphoprotein 1,"This gene encodes a T cell adaptor protein, a class of intracellular molecules with modular domains capable of recruiting additional proteins but that exhibit no intrinsic enzymatic activity. The encoded protein contains a unique N-terminal region followed by a PH domain and C-terminal SH3 domain. Along with the adhesion and degranulation-promoting adaptor protein, the encoded protein plays a critical role in inside-out signaling by coupling T-cell antigen receptor stimulation to the activation of integrins. [provided by RefSeq, Jul 2008]"
P2RY10,27334,P2Y receptor family member 10,"The protein encoded by this gene belongs to the family of G-protein coupled receptors that are preferentially activated by adenosine and uridine nucleotides. There is a pseudogene for this gene nearby on chromosome X. Multiple alternatively spliced transcripts have been observed. [provided by RefSeq, Apr 2016]"
TMEM52B,120939,transmembrane protein 52B,"Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]"
IL27,246778,interleukin 27,"The protein encoded by this gene is one of the subunits of a heterodimeric cytokine complex. This protein is related to interleukin 12A (IL12A). It interacts with Epstein-Barr virus induced gene 3 (EBI3), a protein similar to interleukin 12B (IL12B), and forms a complex that has been shown to drive rapid expansion of naive but not memory CD4(+) T cells. The complex is also found to synergize strongly with interleukin 12 to trigger interferon gamma (IFNG) production of naive CD4(+) T cells. The biological effects of this cytokine are mediated by the class I cytokine receptor (WSX1/TCRR). [provided by RefSeq, Jul 2008]"
EFNB3,1949,ephrin B3," EFNB3, a member of the ephrin gene family, is important in brain development as well as in its maintenance. Moreover, since levels of EFNB3 expression were particularly high in several forebrain subregions compared to other brain subregions, it may play a pivotal role in forebrain function.  The EPH and EPH-related receptors comprise the largest subfamily of receptor protein-tyrosine kinases and have been implicated in mediating developmental events, particularly in the nervous system. EPH Receptors typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin ligands and receptors have been named by the Eph Nomenclature Committee (1997). Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. The Eph family of receptors are similarly divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. [provided by RefSeq, Jul 2008]"
TTBK1,84630,tau tubulin kinase 1,"Summary:This gene belongs to the casein kinase 1 superfamily. The encoded protein is a neuron-specific, serine/threonine and tyrosine kinase, which regulates phosphorylation of tau, a protein that associates with microtubule assemblies and stabilizes them. Genetic variants in this gene are associated with Alzheimer's disease. [provided by RefSeq, Jul 2016]"
CD1C,911,CD1c molecule,"This gene encodes a member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of self or microbial origin to T cells. The human genome contains five CD1 family genes organized in a cluster on chromosome 1. The CD1 family members are thought to differ in their cellular localization and specificity for particular lipid ligands. The protein encoded by this gene is broadly distributed throughout the endocytic system via a tyrosine-based motif in the cytoplasmic tail. Alternatively spliced transcript variants of this gene have been observed, but their full-length nature is not known. [provided by RefSeq, Jul 2008]"
POU2AF1,5450,POU class 2 homeobox associating factor 1,"Enables transcription coactivator activity. Involved in positive regulation of transcription by RNA polymerase II. Part of RNA polymerase II transcription regulator complex. [provided by Alliance of Genome Resources, Apr 2022]"
TARP,445347,TCR gamma alternate reading frame protein,"In some non-lymphoid tissues, the unrearranged T cell receptor gamma (TRG@) locus is expressed. The resulting transcript contains a subset of the TRG@ gene segments and is shorter than TRG@ transcripts expressed in lymphoid tissues. This RefSeq record represents the unrearranged TRG@ locus transcript; the complete TRG@ locus is represented by the genomic RefSeq NG_001336. The transcript represented by this RefSeq has two open reading frames (ORFs) that encode different proteins. The downstream ORF is in the same frame as TRG@ and its protein product is similar to TRG@ proteins. The upstream ORF uses a different reading frame and encodes a novel protein. [provided by RefSeq, Jul 2008]"
LAX1,54900,lymphocyte transmembrane adaptor 1,"Enables SH2 domain binding activity and protein kinase binding activity. Involved in several processes, including B cell activation; negative regulation of MAP kinase activity; and negative regulation of T cell activation. Located in Golgi apparatus; cytosol; and plasma membrane. Is integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
DTHD1,401124,death domain containing 1,"This gene encodes a protein which contains a death domain. Death domain-containing proteins function in signaling pathways and formation of signaling complexes, as well as the apoptosis pathway. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2012]"
PRAM1,84106,PML-RARA regulated adaptor molecule 1,"The protein encoded by this gene is similar to FYN binding protein (FYB/SLAP-130), an adaptor protein involved in T cell receptor mediated signaling. This gene is expressed and regulated during normal myelopoiesis. The expression of this gene is induced by retinoic acid and is inhibited by the expression of PML-RARalpha, a fusion protein of promyelocytic leukemia (PML) and the retinoic acid receptor-alpha (RARalpha). [provided by RefSeq, Jul 2008]"
SELP,6403,selectin P,"This gene encodes a 140 kDa protein that is stored in the alpha-granules of platelets and Weibel-Palade bodies of endothelial cells. This protein redistributes to the plasma membrane during platelet activation and degranulation and mediates the interaction of activated endothelial cells or platelets with leukocytes. The membrane protein is a calcium-dependent receptor that binds to sialylated forms of Lewis blood group carbohydrate antigens on neutrophils and monocytes. Alternative splice variants may occur but are not well documented. [provided by RefSeq, Jul 2008]"
FOXF2,2295,forkhead box F2,"FOXF2 encodes forkhead box F2, one of many human homologues of the Drosophila melanogaster transcription factor forkhead. FOXF2 is expressed in lung and placenta, and has been shown to transcriptionally activate several lung-specific genes. [provided by RefSeq, Jul 2008]"
PTPRCAP,5790,protein tyrosine phosphatase receptor type C associated protein,"The protein encoded by this gene was identified as a transmembrane phosphoprotein specifically associated with tyrosine phosphatase PTPRC/CD45, a key regulator of T- and B-lymphocyte activation. The interaction with PTPRC may be required for the stable expression of this protein. [provided by RefSeq, Jul 2008]"
C7,3627,C-X-C motif chemokine ligand 10,"This antimicrobial gene encodes a chemokine of the CXC subfamily and ligand for the receptor CXCR3. Binding of this protein to CXCR3 results in pleiotropic effects, including stimulation of monocytes, natural killer and T-cell migration, and modulation of adhesion molecule expression. This gene may also be a key regulator of the 'cytokine storm' immune response to SARS-CoV-2 infection. [provided by RefSeq, Sep 2020]"
DCANP1,140947,dendritic cell associated nuclear protein 1,"This intronless gene is specifically expressed in dendritic cells (DCs), which are potent antigen-presenting cells involved in activating naive T cells to initiate antigen-specific immune response. The encoded protein is localized mainly in the perinucleus. One of the alleles (A/T) of this gene, that causes premature translation termination at aa 117, has been associated with an increased prevalence of major depression in humans. [provided by RefSeq, Jul 2008]"
CLEC12A,160364,C-type lectin domain family 12 member A,"This gene encodes a member of the C-type lectin/C-type lectin-like domain (CTL/CTLD) superfamily. Members of this family share a common protein fold and have diverse functions, such as cell adhesion, cell-cell signaling, glycoprotein turnover, and roles in inflammation and immune response. The protein encoded by this gene is a negative regulator of granulocyte and monocyte function. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined. This gene is closely linked to other CTL/CTLD superfamily members in the natural killer gene complex region on chromosome 12p13. [provided by RefSeq, May 2011]"
KCNA3,3738,potassium voltage-gated channel subfamily A member 3,"Potassium channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shaker-related subfamily. This member contains six membrane-spanning domains with a shaker-type repeat in the fourth segment. It belongs to the delayed rectifier class, members of which allow nerve cells to efficiently repolarize following an action potential. It plays an essential role in T-cell proliferation and activation. This gene appears to be intronless and it is clustered together with KCNA2 and KCNA10 genes on chromosome 1. [provided by RefSeq, Jul 2008]"
INSL3,3640,insulin like 3,"This gene encodes a member of the insulin-like hormone superfamily. The encoded protein is mainly produced in gonadal tissues. Studies of the mouse counterpart suggest that this gene may be involved in the development of urogenital tract and female fertility. This protein may also act as a hormone to regulate growth and differentiation of gubernaculum, and thus mediating intra-abdominal testicular descent. Mutations in this gene may lead to cryptorchidism. Alternate splicing results in multiple transcript variants. [provided by RefSeq, May 2012]"
SLC27A2,11001,solute carrier family 27 member 2,"The protein encoded by this gene is an isozyme of long-chain fatty-acid-coenzyme A ligase family. Although differing in substrate specificity, subcellular localization, and tissue distribution, all isozymes of this family convert free long-chain fatty acids into fatty acyl-CoA esters, and thereby play a key role in lipid biosynthesis and fatty acid degradation. This isozyme activates long-chain, branched-chain and very-long-chain fatty acids containing 22 or more carbons to their CoA derivatives. It is expressed primarily in liver and kidney, and is present in both endoplasmic reticulum and peroxisomes, but not in mitochondria. Its decreased peroxisomal enzyme activity is in part responsible for the biochemical pathology in X-linked adrenoleukodystrophy. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2009]"
ADGRE1,2015,adhesion G protein-coupled receptor E1,"This gene encodes a protein that has a domain resembling seven transmembrane G protein-coupled hormone receptors (7TM receptors) at its C-terminus. The N-terminus of the encoded protein has six EGF-like modules, separated from the transmembrane segments by a serine/threonine-rich domain, a feature reminiscent of mucin-like, single-span, integral membrane glycoproteins with adhesive properties. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012]"
MARCO,8685,macrophage receptor with collagenous structure,"The protein encoded by this gene is a member of the class A scavenger receptor family and is part of the innate antimicrobial immune system. The protein may bind both Gram-negative and Gram-positive bacteria via an extracellular, C-terminal, scavenger receptor cysteine-rich (SRCR) domain. In addition to short cytoplasmic and transmembrane domains, there is an extracellular spacer domain and a long, extracellular collagenous domain. The protein may form a trimeric molecule by the association of the collagenous domains of three identical polypeptide chains. [provided by RefSeq, Jul 2008]"
BHLHA15,168620,basic helix-loop-helix family member a15,"Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in several processes, including cellular response to glucose starvation; endoplasmic reticulum unfolded protein response; and negative regulation of myotube differentiation. Predicted to act upstream of or within several processes, including glucose homeostasis; intracellular distribution of mitochondria; and mitochondrial calcium ion transmembrane transport. Predicted to be part of chromatin. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
PTPN22,26191,protein tyrosine phosphatase non-receptor type 22,"This gene encodes of member of the non-receptor class 4 subfamily of the protein-tyrosine phosphatase family. The encoded protein is a lymphoid-specific intracellular phosphatase that associates with the molecular adapter protein CBL and may be involved in regulating CBL function in the T-cell receptor signaling pathway. Mutations in this gene may be associated with a range of autoimmune disorders including Type 1 Diabetes, rheumatoid arthritis, systemic lupus erythematosus and Graves' disease. Alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Mar 2009]"
MIR155HG,114614,MIR155 host gene,"This gene represents a microRNA host gene. The long RNA transcribed from this gene is expressed at high levels in lymphoma and may function as an oncogene. [provided by RefSeq, Dec 2017]"
APOL3,80833,apolipoprotein L3,"This gene is a member of the apolipoprotein L gene family, and it is present in a cluster with other family members on chromosome 22. The encoded protein is found in the cytoplasm, where it may affect the movement of lipids, including cholesterol, and/or allow the binding of lipids to organelles. In addition, expression of this gene is up-regulated by tumor necrosis factor-alpha in endothelial cells lining the normal and atherosclerotic iliac artery and aorta. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2015]"
FASLG,356,Fas ligand,"This gene is a member of the tumor necrosis factor superfamily. The primary function of the encoded transmembrane protein is the induction of apoptosis triggered by binding to FAS. The FAS/FASLG signaling pathway is essential for immune system regulation, including activation-induced cell death (AICD) of T cells and cytotoxic T lymphocyte induced cell death. It has also been implicated in the progression of several cancers. Defects in this gene may be related to some cases of systemic lupus erythematosus (SLE). Alternatively spliced transcript variants have been described. [provided by RefSeq, Nov 2014]"
DFNB42,286676,immunoglobulin like domain containing receptor 1,"This gene encodes a protein that contains an immunoglobulin-like domain. The encoded protein may function as a multimeric receptor at the cell surface. The expression of this gene may be a diagnostic marker for cancer progression. Alternatively spliced transcript variants encoding multiple protein isoforms have been observed for this gene. [provided by RefSeq, Dec 2010]"
KAT,50848,F11 receptor,"Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. The protein encoded by this immunoglobulin superfamily gene member is an important regulator of tight junction assembly in epithelia. In addition, the encoded protein can act as (1) a receptor for reovirus, (2) a ligand for the integrin LFA1, involved in leukocyte transmigration, and (3) a platelet receptor. Multiple 5' alternatively spliced variants, encoding the same protein, have been identified but their biological validity has not been established. [provided by RefSeq, Jul 2008]"
TTC24,164118,tetratricopeptide repeat domain 24,
TBLYM,30009,T-box transcription factor 21,"This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. This gene is the human ortholog of mouse Tbx21/Tbet gene. Studies in mouse show that Tbx21 protein is a Th1 cell-specific transcription factor that controls the expression of the hallmark Th1 cytokine, interferon-gamma (IFNG). Expression of the human ortholog also correlates with IFNG expression in Th1 and natural killer cells, suggesting a role for this gene in initiating Th1 lineage development from naive Th precursor cells. [provided by RefSeq, Jul 2008]"
PCED1B-AS1,100233209,PCED1B antisense RNA 1,
ADGRG5,221188,adhesion G protein-coupled receptor G5,"This gene encodes a member of the adhesion family of G-protein coupled receptors. Members of this family are characterized by long N-termini and multiple functional domains. They may play a role in the immune system as well as in the central nervous system. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]"
SAMD3,154075,sterile alpha motif domain containing 3,
RTP5,285093,receptor transporter protein 5 (putative),"Predicted to enable olfactory receptor binding activity. Predicted to be involved in detection of chemical stimulus involved in sensory perception of bitter taste; protein insertion into membrane; and protein targeting to membrane. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
P2RY12,64805,purinergic receptor P2Y12,"The product of this gene belongs to the family of G-protein coupled receptors. This family has several receptor subtypes with different pharmacological selectivity, which overlaps in some cases, for various adenosine and uridine nucleotides. This receptor is involved in platelet aggregation, and is a potential target for the treatment of thromboembolisms and other clotting disorders. Mutations in this gene are implicated in bleeding disorder, platelet type 8 (BDPLT8). Alternative splicing results in multiple transcript variants of this gene. [provided by RefSeq, Jul 2013]"
FUT7,2529,fucosyltransferase 7,"The protein encoded by this gene is a Golgi stack membrane protein that is involved in the creation of sialyl-Lewis X antigens. The encoded protein can direct the synthesis of the E-selectin-binding sialyl-Lewis X moiety. [provided by RefSeq, Jul 2008]"
SLEB2,5133,programmed cell death 1,"Programmed cell death protein 1 (PDCD1) is an immune-inhibitory receptor expressed in activated T cells; it is involved in the regulation of T-cell functions, including those of effector CD8+ T cells. In addition, this protein can also promote the differentiation of CD4+ T cells into T regulatory cells. PDCD1 is expressed in many types of tumors including melanomas, and has demonstrated to play a role in anti-tumor immunity. Moreover, this protein has been shown to be involved in safeguarding against autoimmunity, however, it can also contribute to the inhibition of effective anti-tumor and anti-microbial immunity. [provided by RefSeq, Aug 2020]"
SP140,11262,SP140 nuclear body protein,"This gene encodes a member of the SP100 family of proteins, which are share common domains including an N-terminal homogeneously staining region domain followed by a SP100/autoimmune regulator/NucP41/P75/deformed epidermal autoregulatory factor domain, a plant homeobox zinc finger, and a bromodomain. The encoded protein is interferon-inducible and is expressed at high levels in the nuclei of leukocytes. Variants of this gene have been associated with multiple sclerosis, Crohn's disease, and chronic lymphocytic leukemia. Alternative splicing results in multiple variants. [provided by RefSeq, Aug 2016]"
CCR2,729230,C-C motif chemokine receptor 2,"The protein encoded by this gene is a receptor for monocyte chemoattractant protein-1, a chemokine which specifically mediates monocyte chemotaxis. Monocyte chemoattractant protein-1 is involved in monocyte infiltration in inflammatory diseases such as rheumatoid arthritis as well as in the inflammatory response against tumors. The encoded protein mediates agonist-dependent calcium mobilization and inhibition of adenylyl cyclase. This protein can also be a coreceptor with CD4 for HIV-1 infection. This gene is located in the chemokine receptor gene cluster region of chromosome 3. [provided by RefSeq, Aug 2017]"
CD27,939,CD27 molecule,"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor is required for generation and long-term maintenance of T cell immunity. It binds to ligand CD70, and plays a key role in regulating B-cell activation and immunoglobulin synthesis. This receptor transduces signals that lead to the activation of NF-kappaB and MAPK8/JNK. Adaptor proteins TRAF2 and TRAF5 have been shown to mediate the signaling process of this receptor. CD27-binding protein (SIVA), a proapoptotic protein, can bind to this receptor and is thought to play an important role in the apoptosis induced by this receptor. [provided by RefSeq, Jul 2008]"
KLRD1,3824,killer cell lectin like receptor D1,"Natural killer (NK) cells are a distinct lineage of lymphocytes that mediate cytotoxic activity and secrete cytokines upon immune stimulation. Several genes of the C-type lectin superfamily, including members of the NKG2 family, are expressed by NK cells and may be involved in the regulation of NK cell function. KLRD1 (CD94) is an antigen preferentially expressed on NK cells and is classified as a type II membrane protein because it has an external C terminus. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2017]"
IL21R,50615,interleukin 21 receptor,"The protein encoded by this gene is a cytokine receptor for interleukin 21 (IL21). It belongs to the type I cytokine receptors, and has been shown to form a heterodimeric receptor complex with the common gamma-chain, a receptor subunit also shared by the receptors for interleukin 2, 4, 7, 9, and 15. This receptor transduces the growth promoting signal of IL21, and is important for the proliferation and differentiation of T cells, B cells, and natural killer (NK) cells. The ligand binding of this receptor leads to the activation of multiple downstream signaling molecules, including JAK1, JAK3, STAT1, and STAT3. Knockout studies of a similar gene in mouse suggest a role for this gene in regulating immunoglobulin production. Three alternatively spliced transcript variants have been described. [provided by RefSeq, Jul 2010]"
GPR171,29909,G protein-coupled receptor 171,"Predicted to enable G protein-coupled purinergic nucleotide receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to act upstream of or within negative regulation of myeloid cell differentiation. Predicted to be located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
LY9,4063,lymphocyte antigen 9,"LY9 belongs to the SLAM family of immunomodulatory receptors (see SLAMF1; MIM 603492) and interacts with the adaptor molecule SAP (SH2D1A; MIM 300490) (Graham et al., 2006 [PubMed 16365421]).[supplied by OMIM, Mar 2008]"
SLFN12L,100506736,schlafen family member 12 like,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
SLAMF6,114836,SLAM family member 6,"The protein encoded by this gene is a type I transmembrane protein, belonging to the CD2 subfamily of the immunoglobulin superfamily. This encoded protein is expressed on Natural killer (NK), T, and B lymphocytes. It undergoes tyrosine phosphorylation and associates with the Src homology 2 domain-containing protein (SH2D1A) as well as with SH2 domain-containing phosphatases (SHPs). It functions as a coreceptor in the process of NK cell activation. It can also mediate inhibitory signals in NK cells from X-linked lymphoproliferative patients. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, May 2010]"
HSH2D,84941,hematopoietic SH2 domain containing,"T-cell activation requires 2 signals: recognition of antigen by the T-cell receptor (see TCR; MIM 186880) and a costimulatory signal provided primarily by CD28 (MIM 186760) in naive T cells. HSH2 is a target of both of these signaling pathways (Greene et al., 2003 [PubMed 12960172]).[supplied by OMIM, Mar 2008]"
TFEC,22797,transcription factor EC,"This gene encodes a member of the micropthalmia (MiT) family of basic helix-loop-helix leucine zipper transcription factors. MiT transcription factors regulate the expression of target genes by binding to E-box recognition sequences as homo- or heterodimers, and play roles in multiple cellular processes including survival, growth and differentiation. The encoded protein is a transcriptional activator of the nonmuscle myosin II heavy chain-A gene, and may also co-regulate target genes in osteoclasts as a heterodimer with micropthalmia-associated transcription factor. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Sep 2011]"
PACSIN1,29993,protein kinase C and casein kinase substrate in neurons 1,"Enables phospholipid binding activity. Involved in plasma membrane tubulation. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
CLEC9A,283420,C-type lectin domain containing 9A,"CLEC9A is a group V C-type lectin-like receptor (CTLR) that functions as an activation receptor and is expressed on myeloid lineage cells (Huysamen et al., 2008 [PubMed 18408006]).[supplied by OMIM, Aug 2008]"
UBASH3A,53347,ubiquitin associated and SH3 domain containing A,"This gene encodes one of two family members belonging to the T-cell ubiquitin ligand (TULA) family. Both family members can negatively regulate T-cell signaling. This family member can facilitate growth factor withdrawal-induced apoptosis in T cells, which may occur via its interaction with AIF, an apoptosis-inducing factor. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Aug 2011]"
LILRB1,10859,leukocyte immunoglobulin like receptor B1,"This gene is a member of the leukocyte immunoglobulin-like receptor (LIR) family, which is found in a gene cluster at chromosomal region 19q13.4. The encoded protein belongs to the subfamily B class of LIR receptors which contain two or four extracellular immunoglobulin domains, a transmembrane domain, and two to four cytoplasmic immunoreceptor tyrosine-based inhibitory motifs (ITIMs). The receptor is expressed on immune cells where it binds to MHC class I molecules on antigen-presenting cells and transduces a negative signal that inhibits stimulation of an immune response. It is thought to control inflammatory responses and cytotoxicity to help focus the immune response and limit autoreactivity. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
HAMP,57817,hepcidin antimicrobial peptide,"The product encoded by this gene is involved in the maintenance of iron homeostasis, and it is necessary for the regulation of iron storage in macrophages, and for intestinal iron absorption. The preproprotein is post-translationally cleaved into mature peptides of 20, 22 and 25 amino acids, and these active peptides are rich in cysteines, which form intramolecular bonds that stabilize their beta-sheet structures. These peptides exhibit antimicrobial activity against bacteria and fungi. Mutations in this gene cause hemochromatosis type 2B, also known as juvenile hemochromatosis, a disease caused by severe iron overload that results in cardiomyopathy, cirrhosis, and endocrine failure. [provided by RefSeq, Oct 2014]"
DAPP1,27071,dual adaptor of phosphotyrosine and 3-phosphoinositides 1,"Enables phosphatidylinositol-3,4,5-trisphosphate binding activity and phosphatidylinositol-3,4-bisphosphate binding activity. Predicted to be involved in signal transduction. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
FCRL6,343413,Fc receptor like 6,"Enables MHC class II protein binding activity and protein phosphatase binding activity. Predicted to be involved in cell surface receptor signaling pathway. Located in external side of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
CCDC88C,440193,coiled-coil domain containing 88C,"This gene encodes a ubiquitously expressed coiled-coil domain-containing protein that interacts with the dishevelled protein and is a negative regulator of the Wnt signalling pathway. The protein encoded by this gene has a PDZ-domain binding motif in its C-terminus with which it interacts with the dishevelled protein. Dishevelled is a scaffold protein involved in the regulation of the Wnt signaling pathway. The Wnt signaling pathway plays an important role in embryonic development, tissue maintenance, and cancer progression. Mutations in this gene cause autosomal recessive, primary non-syndromic congenital hydrocephalus; a condition characterized by excessive accumulation of cerebrospinal fluid in the ventricles of the brain. [provided by RefSeq, Jan 2013]"
CD72,971,CD72 molecule,"Predicted to enable signaling receptor binding activity. Predicted to be involved in cell adhesion. Is integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
CP,1356,ceruloplasmin,"The protein encoded by this gene is a metalloprotein that binds most of the copper in plasma and is involved in the peroxidation of Fe(II)transferrin to Fe(III) transferrin. Mutations in this gene cause aceruloplasminemia, which results in iron accumulation and tissue damage, and is associated with diabetes and neurologic abnormalities. Two transcript variants, one protein-coding and the other not protein-coding, have been found for this gene. [provided by RefSeq, Feb 2012]"
ANKRD22,118932,ankyrin repeat domain 22,
IL18,3606,interleukin 18,"The protein encoded by this gene is a proinflammatory cytokine of the IL-1 family that is constitutively found as a precursor within the cytoplasm of a variety of cells including macrophages and keratinocytes. The inactive IL-18 precursor is processed to its active form by caspase-1, and is capable of stimulating interferon gamma production, and of regulating both T helper (Th) 1 and Th2 responses. This cytokine has been implicated in the injury of different organs, and in potentially fatal conditions characterized by a cytokine storm. In humans, IL-18 gene is located on chromosome 11. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Aug 2020]"
ABCD2,6361,C-C motif chemokine ligand 17,"This antimicrobial gene is one of several Cys-Cys (CC) cytokine genes clustered on the q arm of chromosome 16. Cytokines are a family of secreted proteins involved in immunoregulatory and inflammatory processes. The CC cytokines are proteins characterized by two adjacent cysteines. The cytokine encoded by this gene displays chemotactic activity for T lymphocytes, but not monocytes or granulocytes. The product of this gene binds to chemokine receptors CCR4 and CCR8. This chemokine plays important roles in T cell development in thymus as well as in trafficking and activation of mature T cells. [provided by RefSeq, Sep 2014]"
FCGR1B,2210,"Fc gamma receptor Ib, pseudogene","Three distinct, but closely related classes of receptors that bind the Fc portion of IgG have been identified (Fcgamma RI, II and III). The FcgammaRI family consists of three closely related genes termed A, B, and C. This gene likely encodes a non-functional protein that is not detectable at the cell surface and binds ligand with low affinity. [provided by RefSeq, Nov 2019]"
PIK3CG,5294,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","Phosphoinositide 3-kinases (PI3Ks) phosphorylate inositol lipids and are involved in the immune response. The protein encoded by this gene is a class I catalytic subunit of PI3K. Like other class I catalytic subunits (p110-alpha p110-beta, and p110-delta), the encoded protein binds a p85 regulatory subunit to form PI3K. This gene is located in a commonly deleted segment of chromosome 7 previously identified in myeloid leukemias. Several transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jun 2015]"
TNFSF14,8740,TNF superfamily member 14,"The protein encoded by this gene is a member of the tumor necrosis factor (TNF) ligand family. This protein is a ligand for TNFRSF14, which is a member of the tumor necrosis factor receptor superfamily, and which is also known as a herpesvirus entry mediator (HVEM). This protein may function as a costimulatory factor for the activation of lymphoid cells and as a deterrent to infection by herpesvirus. This protein has been shown to stimulate the proliferation of T cells, and trigger apoptosis of various tumor cells. This protein is also reported to prevent tumor necrosis factor alpha mediated apoptosis in primary hepatocyte. Two alternatively spliced transcript variant encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]"
OTOF,9381,otoferlin,"Mutations in this gene are a cause of neurosensory nonsyndromic recessive deafness, DFNB9. The short form of the encoded protein has 3 C2 domains, a single carboxy-terminal transmembrane domain found also in the C. elegans spermatogenesis factor FER-1 and human dysferlin, while the long form has 6 C2 domains. The homology suggests that this protein may be involved in vesicle membrane fusion. Several transcript variants encoding multiple isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
IRF1,3659,interferon regulatory factor 1,"The protein encoded by this gene is a transcriptional regulator and tumor suppressor, serving as an activator of genes involved in both innate and acquired immune responses. The encoded protein activates the transcription of genes involved in the body's response to viruses and bacteria, playing a role in cell proliferation, apoptosis, the immune response, and DNA damage response. This protein represses the transcription of several other genes. As a tumor suppressor, it both suppresses tumor cell growth and stimulates an immune response against tumor cells. Defects in this gene have been associated with gastric cancer, myelogenous leukemia, and lung cancer. [provided by RefSeq, Aug 2017]"
